Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmu\x8086NetEmu.vbproj,File,x8086NetEmu\Helpers\Properties.vb,160,24,P:System.Management.ManagementBaseObject.Item(System.String),,,,,"mHostCpuSpeed = managementObject(""CurrentClockSpeed"")"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmu\x8086NetEmu.vbproj,File,x8086NetEmu\Helpers\Properties.vb,159,20,T:System.Management.ManagementObject,,,,,"Using managementObject As New Management.ManagementObject(""Win32_Processor.DeviceID='CPU0'"")"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmu\x8086NetEmu.vbproj,File,x8086NetEmu\Helpers\Properties.vb,159,20,M:System.Management.ManagementObject.#ctor(System.String),,,,,"Using managementObject As New Management.ManagementObject(""Win32_Processor.DeviceID='CPU0'"")"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,x8086NetEmuConsole\x8086NetEmuConsole.vbproj,File,x8086NetEmuConsole\x8086NetEmuConsole.vbproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,x8086NetEmuConsole\x8086NetEmuConsole.vbproj,File,x8086NetEmuConsole\x8086NetEmuConsole.vbproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8.1 Recommended target framework: net10.0"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8.1 Recommended target framework: net10.0-windows"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,362,32,T:System.Drawing.Graphics,,,,,Me.surfaceGraphics.Dispose()
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,362,32,M:System.Drawing.Graphics.Dispose,,,,,Me.surfaceGraphics.Dispose()
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,357,24,T:System.Drawing.Font,,,,,"Me.surfaceGraphics.DrawString(mCanvas(sx)(sy).Character, Me.Font, sb, sx * CharSize.Width, sy * CharSize.Height)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,357,24,T:System.Drawing.Graphics,,,,,"Me.surfaceGraphics.DrawString(mCanvas(sx)(sy).Character, Me.Font, sb, sx * CharSize.Width, sy * CharSize.Height)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,357,24,"M:System.Drawing.Graphics.DrawString(System.String,System.Drawing.Font,System.Drawing.Brush,System.Single,System.Single)",,,,,"Me.surfaceGraphics.DrawString(mCanvas(sx)(sy).Character, Me.Font, sb, sx * CharSize.Width, sy * CharSize.Height)"
